,user_id,review,score
79,als(alsw****),"디즈니라면 너무 좋아해서 신데렐라, 미녀와야수도 모두 봤음. 알라딘도 개봉날 달려갔는데 사실 앞선 두 영화보단 기대를 덜했음. 근데 개인적으로 세 영화 중 가장 최고였다 생각함. 영화보는 내내 웃다 뒤로 넘어가는줄알...",10
80,BLACKJJAM(zlcl****),"내가 관람한 기준으로 지금까지 나온 디즈니 실사화 영화중 가장 재밌었어요. 영상미, 연출, 음악까지 전부 맘에 들고 진부하지 않게 현세대에 맞춘 연출력에 재미를 느꼈습니다~ 안 본사람 없게 해주세요",10
81,김수현(comm****),ㄹㅇ 너무 재밌다...알바아니고... 너무잘만들어서 울었다...실사판 성공이다..200퍼센트,10
82,초아(envy****),그냥 믿고 보셈. 무슨 말이 많음?,10
83,모에지혀니(akcj****),재미있다(공감) 재미없다(비공)눌러주세요,10
84,cc13****,진짜 마지막에 끝나고 박수칠뻔했음,10
85,대깨문(bbwl****),정말 확실한건 시간은 절대 안아깝다,10
86,시부엉(sdm3****),솔직히 이런류?? 뮤지컬 영화 잘안보는데재밌고 시간가는줄 모르겠네ㅋㅋ진짜 강추드립니다.심야보고 콩나물국밥집에서 35짤 후기욤,10
87,지희주(gmlw****),디즈니 자본냄새 굿.. 원작초월 자스민 speechless 나올때 소름,10
88,싸이리니(dnan****),왠만하면 안쓰는데.. 디즈니 실사 영화중에 가장 감동깊게 본영화다,10
89,창콩이(kcha****),"연출, 음악, 연기, 영상미, 스케일 어느 것 하나 부족함이 없습니다.무엇보다 지루한 스토리 전개, 억지스러운 감동이 없어 너무 좋았습니다. 그리고 자스민 세존예♡♡",10
90,wjs1****,디즈니 영화중 역대 아름다워요양탄자 타고 둘이 노래부르며 날아다닐때 세상 너무 이뻐요 이영화 내 원픽,10
91,care****,재밌다. ㅋ 일단 재밌음.ㅋ 윌스미스도 웃기고 공주로 나온 배우 왜케 이쁜지ㅋ 노래도 잘하고 ㅋ,9
92,uuowqzz1(skaw****),윌스미스 하드캐리 존잼스!,10
93,우동(dwk1****),10만원짜리 뮤지컬 보고온 느낌.. 이게 영화다,10
