movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys
20174603,퍼시픽 림: 업라이징,Pacific Rim: Uprising,2018,20180321,장편,개봉,미국,"액션,어드벤처,SF",미국,액션,"('스티븐 S. 드나이트', ' ', ' ', ' ')",[]
20172244,치즈인더트랩,Cheese in the Trap,2017,20180314,장편,개봉,한국,"멜로/로맨스,스릴러",한국,멜로/로맨스,"('김제영', ' ', ' ', ' ')","[{'companyCd': '20174382', 'companyNm': '(주)마운틴무브먼트스토리'}]"
20174168,착한 엄마 무삭제,,2017,20180316,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('이리단', ' ', ' ', ' ')","[{'companyCd': '20154628', 'companyNm': '(주)영화사 사계절'}]"
20182482,정사:아들의 아내,Iyarasiikannkei,2015,20180316,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('나가에 타카미', ' ', ' ', ' ')",[]
20182481,절정기:느끼는 여자들,SIOHUKI,2016,20180316,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('나가에 타카미', ' ', ' ', ' ')",[]
20182483,새아빠,Tuma ga ryokoutyuu ni gimusume to 2rikkiri ni nari sononesugata ni yokujyousite,2016,20180316,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('네지메 지로', ' ', ' ', ' ')",[]
20177931,매드맥스: 로드 워,Road Wars,2015,20180315,장편,개봉,미국,"액션,SF",미국,액션,"('마크 앳킨스', ' ', ' ', ' ')",[]
20177328,원 나잇 리멤버,10 Years,2011,20180315,장편,개봉,미국,"코미디,드라마",미국,코미디,"('제이미 린든', ' ', ' ', ' ')",[]
20181001,판타스틱 부니베어,Boonie Bears the Big Top Secret,2016,20180315,장편,개봉,중국,"애니메이션,어드벤처",중국,애니메이션,"('정량', ' ', ' ', ' ')",[]
20181721,크레이지 인 러브,Crazy in Love,2017,20180315,장편,개봉,프랑스,멜로/로맨스,프랑스,멜로/로맨스,"('재키 카투', ' ', ' ', ' ')",[]
20189945,운전면허학원 여교사,Found Blow Job Instructor at Driving School 2,2017,20180315,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('모리 신이치', ' ', ' ', ' ')",[]
20180125,악의 도시,Septembers of Shiraz,2015,20180315,장편,개봉,미국,스릴러,미국,스릴러,"('웨인 블레어', ' ', ' ', ' ')",[]
20178449,쓰리 빌보드,"Three Billboards Outside Ebbing, Missouri",2017,20180315,장편,개봉,미국,"코미디,범죄,드라마",미국,코미디,"('마틴 맥도나', ' ', ' ', ' ')",[]
20170344,스나이퍼,LA RESISTANCE DE L'AIR,2015,20180315,장편,개봉,프랑스,"액션,스릴러",프랑스,액션,"('프레드 그리부아', ' ', ' ', ' ')",[]
20180761,내 친구 엄마,,2017,20180315,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('이리단', ' ', ' ', ' ')","[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20189944,거유 마사지사가 듬뿍,Big Tits Girls at Beauty Salon for Stiff Neck,2017,20180315,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('모리 시게루', ' ', ' ', ' ')",[]
