movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys
20185947,도묘필기2: 잃어버린 제국,THE LOST TOMB 2,2018.0,20181031,장편,개봉,중국,기타,중국,기타,[{'peopleNm': '나영창'}],[]
20184530,팀장님의 아내,,2018.0,20181130,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,[{'peopleNm': '김영민'}],"[{'companyCd': '20123221', 'companyNm': '골든타이드픽처스(주)'}]"
20184542,온천장 여주인의 화끈한 서비스,Hot spring geisha Mitsuko,2017.0,20181130,장편,개봉,일본,드라마,일본,드라마,[{'peopleNm': '넷쿄쿠 타란티노'}],[]
20184540,옆집 유부녀와 불륜정사,Immortality of garbage dumping ground,2017.0,20181130,장편,개봉,일본,드라마,일본,드라마,[{'peopleNm': '크왓치'}],[]
20184539,시아버지의 욕정,Lust of the father-in-law,2017.0,20181130,장편,개봉,일본,드라마,일본,드라마,[{'peopleNm': '오자키 히로코우지'}],[]
20189922,귀신과 함께 춤을,,2018.0,20181130,장편,개봉,한국,"멜로/로맨스,코미디",한국,멜로/로맨스,[{'peopleNm': '백감독'}],"[{'companyCd': '20100395', 'companyNm': '(주)인피니티엔터테인먼트 '}]"
20189870,이브들의 발칙한 수다,,2018.0,20181123,장편,개봉,한국,"멜로/로맨스,코미디",한국,멜로/로맨스,[{'peopleNm': '김정호'}],"[{'companyCd': '20100395', 'companyNm': '(주)인피니티엔터테인먼트 '}]"
20184107,미스틱 게임 ,MYSTIC GAME,2016.0,20181122,장편,개봉,러시아,"판타지,어드벤처",러시아,판타지,[{'peopleNm': '아르ㅤㅌㅛㅁ 악세넨코'}],[]
20183770,동생의 여자,,2018.0,20181122,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '장두만'}],"[{'companyCd': '20173401', 'companyNm': '(주)케이피에이기획'}]"
20184089,트랜스퍼런스,Transference,2017.0,20181121,장편,개봉,미국,,미국,,[],[]
20184088,에일리언 프레데터,Alien Domicile,2017.0,20181121,장편,개봉,미국,"SF,공포(호러)",미국,SF,[],[]
20183704,은밀한 여작가의 사생활 ,,2018.0,20181120,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,[{'peopleNm': '한동호'}],"[{'companyCd': '20189621', 'companyNm': '(주)라온컴퍼니플러스'}]"
20183824,신입 여직원 길들이기,,2018.0,20181120,장편,개봉,일본,,일본,,[{'peopleNm': '아사기리 키요시'}],[]
