movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companyCd,companyNm
20189183,나의 마지막 수트,The Last Suit,2017,20180906,장편,개봉,"아르헨티나,스페인",드라마,아르헨티나,드라마,"('파블로 솔라즈', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180006,아이돌의 속옷구경,Be fucked by Moe Sorry Idol Ecstasy!,2017,20181005,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('쿠니자와 미노루', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180005,돈으로 산 그녀의 정사,Two drowning love more love it,2017,20181005,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('아라키 타로', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180004,너의 첫 경험은 내가 가지겠어,Lusty flowering! A fascinating love house,2017,20181005,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('이케시마 유타카', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20189990,당신이 너무 만족스러워,Nestsick wife soft skin getting wet,2017,20181005,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('쿠니자와 미노루', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20167903,원더풀 고스트,THE SOUL-MATE,2018,20180926,장편,개봉,한국,"코미디,드라마,범죄",한국,코미디,"('조원희', ' ', ' ', ' ')","('20188142', ' ', ' ')","('(주)데이드림엔터테인먼트', ' ', ' ')"
20173865,데자뷰,DEJA VU,2018,20180530,장편,개봉,한국,"미스터리,스릴러",한국,미스터리,"('고경민', ' ', ' ', ' ')","('20153568', '20130105', ' ')","('(주)스톰픽쳐스코리아', '(주)원픽쳐스', ' ')"
20175527,더 펜션,The Pension,2017,20180621,장편,개봉,한국,드라마,한국,드라마,"('류장하', '양종현', '윤창모', '정허덕재')","('20123320', '2013214', ' ')","('(주)조이래빗', '(주)제이콘컴퍼니', ' ')"
20180282,속닥속닥,The Whispering,2018,20180713,장편,개봉,한국,"공포(호러),미스터리",한국,공포(호러),"('최상훈', ' ', ' ', ' ')","('20188601', ' ', ' ')","('(주)파이브데이', ' ', ' ')"
20186565,이비자 언데드,Ibiza Undead,2016,20181004,장편,개봉,영국,"액션,공포(호러)",영국,액션,"('앤디 에드워드', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180194,배틀쉽: 라스트 솔져,Battalion,2018,20181004,장편,개봉,호주,액션,호주,액션,"('마이클 밀러', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20182368,옆집 사는 젊은 아줌마,Playing with fire of wife,2017,20181004,장편,개봉,일본,드라마,일본,드라마,"('크왓치', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20184381,여친 언니,,2018,20181004,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('조태호', ' ', ' ', ' ')","('20161021', ' ', ' ')","('(주)영화사가을', ' ', ' ')"
20180673,에일리언 킬러,Killers Within,2018,20181004,장편,개봉,영국,"액션,공포(호러)",영국,액션,"('폴 부쉬', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20182068,맛있는 세자매,,2018,20181004,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('장두만', ' ', ' ', ' ')","('20173401', ' ', ' ')","('(주)케이피에이기획', ' ', ' ')"
20182367,거유 여사장의 약점,The price of the female president who betrayed her husband,2017,20181004,장편,개봉,일본,드라마,일본,드라마,"('긴다이치 코고로', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20189806,토이무비: 미래대모험,Tea Pets,2017,20181003,장편,개봉,중국,"애니메이션,어드벤처",중국,애니메이션,"('게리 왕', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20177221,베놈,Venom,2018,20181003,장편,개봉,미국,"액션,SF,스릴러",미국,액션,"('루벤 플레셔', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20181170,극장판 토미카 하이퍼레스큐 드라이브헤드,THE MOVIE DRIVE HEAD TOMICA HYPER RESCUE,2018,20181003,장편,개봉,일본,애니메이션,일본,애니메이션,"('카토 타카오', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20189123,곰돌이 푸 다시 만나 행복해,Christopher Robin,2018,20181003,장편,개봉,미국,어드벤처,미국,어드벤처,"('마크 포스터', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180758,촉산 복마전,THE LEGEND OF ZU,2018,20181002,장편,개봉,중국,"액션,판타지",중국,액션,"('주준봉', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20181990,젊은 처제들,,2018,20180927,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('강정훈', ' ', ' ', ' ')","('20112175', ' ', ' ')","('(주)소나무픽쳐스', ' ', ' ')"
20175587,나비잠,Butterfly Sleep,2017,20180906,장편,개봉,"한국,일본",멜로/로맨스,한국,멜로/로맨스,"('정재은', ' ', ' ', ' ')","('20111564', ' ', ' ')","('(주)영화사조아', ' ', ' ')"
20181422,레더 하우스,My Little Sister,2016,20180930,장편,개봉,이탈리아,"공포(호러),스릴러",이탈리아,공포(호러),"('마우리지오 델 피콜로', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
